Accession	Kingdom	Family	Genus	Species	Molecule_type	Length	Nuc_Completeness	Geo_Location	BioSample	Lat_long	Gene_Description	Host	Host_Disease
AY379740.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial				Infectious pancreatic necrosis virus isolate NVI-015 segment A 12.1 kDa non-structural protein and 107 kDa polyprotein genes, complete cds		Potential pathogen
AY379742.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial				Infectious pancreatic necrosis virus isolate NVI-016 segment A 15.4 kDa non-structural protein and 107 kDa polyprotein genes, complete cds		Potential pathogen
AY379736.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial				Infectious pancreatic necrosis virus isolate NVI-020 segment A 15.4 kDa non-structural protein and 107 kDa polyprotein genes, complete cds		Potential pathogen
AY379737.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial				Infectious pancreatic necrosis virus isolate NVI-023 segment A 12.1 kDa non-structural protein and 107 kDa polyprotein genes, complete cds		Potential pathogen
AY354519.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial				Infectious pancreatic necrosis virus isolate Sp103 15-kDa nonstructural protein, 108-kDa polyprotein, and 25-kDa nonstructural protein genes, complete cds		Potential pathogen
AY354520.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial				Infectious pancreatic necrosis virus isolate Sp116 15-kDa nonstructural protein, 108-kDa polyprotein, and 25-kDa nonstructural protein genes, complete cds		Potential pathogen
AY354521.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial				Infectious pancreatic necrosis virus isolate Sp122 12-kDa nonstructural protein, 108-kDa polyprotein, and 25-kDa nonstructural protein genes, complete cds		Potential pathogen
AY823632.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial	Norway			Infectious pancreatic necrosis virus isolate VP5-deficient Sp103 polyprotein gene, complete cds		Potential pathogen
M18049.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Partial				Infectious pancreatic necrosis virus segment A RNA encoding a polyprotein, 3' end		Potential pathogen
NC_001915.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3097	Complete				Infectious pancreatic necrosis virus segment A, complete sequence		Potential pathogen
D26526.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3104	Partial				Infectious pancreatic necrosis virus gene for polyprotein, complete cds		Potential pathogen
D00701.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3104	Partial				Infectious pancreatic necrosis virus genes for small ORF, large ORF		Potential pathogen
KR075035.1	Virus	Bornaviridae	Orthobornavirus	Waterbird 1 orthobornavirus	ssRNA(-)	2017	Partial	Denmark			Aquatic bird bornavirus 1 isolate DTU_VET ID245 nucleoprotein gene, partial cds; x protein and phospoprotein genes, complete cds; and matrix protein gene, partial cds		Potential pathogen
KR075032.1	Virus	Bornaviridae	Orthobornavirus	Waterbird 1 orthobornavirus	ssRNA(-)	2029	Partial	Denmark			Aquatic bird bornavirus 1 isolate DTU_VET ID170 nucleoprotein gene, partial cds; x protein and phospoprotein genes, complete cds; and matrix protein gene, partial cds		Potential pathogen
KR075033.1	Virus	Bornaviridae	Orthobornavirus	Waterbird 1 orthobornavirus	ssRNA(-)	2029	Partial	Denmark			Aquatic bird bornavirus 1 isolate DTU_VET ID199 nucleoprotein gene, partial cds; x protein and phospoprotein genes, complete cds; and matrix protein gene, partial cds		Potential pathogen
KR075036.1	Virus	Bornaviridae	Orthobornavirus	Waterbird 1 orthobornavirus	ssRNA(-)	2029	Partial	Denmark			Aquatic bird bornavirus 1 isolate DTU_VET ID332 nucleoprotein gene, partial cds; x protein and phospoprotein genes, complete cds; and matrix protein gene, partial cds		Potential pathogen
KR075030.1	Virus	Bornaviridae	Orthobornavirus	Waterbird 1 orthobornavirus	ssRNA(-)	2032	Partial	Denmark			Aquatic bird bornavirus 1 isolate DTU_VET ID025 nucleoprotein gene, partial cds; x protein and phospoprotein genes, complete cds; and matrix protein gene, partial cds		Potential pathogen
KR075034.1	Virus	Bornaviridae	Orthobornavirus	Waterbird 1 orthobornavirus	ssRNA(-)	2032	Partial	Denmark			Aquatic bird bornavirus 1 isolate DTU_VET ID212 nucleoprotein gene, partial cds; x protein and phospoprotein genes, complete cds; and matrix protein gene, partial cds		Potential pathogen
KR075031.1	Virus	Bornaviridae	Orthobornavirus	Waterbird 1 orthobornavirus	ssRNA(-)	2034	Partial	Denmark			Aquatic bird bornavirus 1 isolate DTU_VET ID097 nucleoprotein gene, partial cds; x protein and phospoprotein genes, complete cds; and matrix protein gene, partial cds		Potential pathogen
KP972428.1	Virus	Bornaviridae	Orthobornavirus	Waterbird 1 orthobornavirus	ssRNA(-)	8931	Complete	USA			Aquatic bird bornavirus 1 isolate CG-N1489, complete genome		Potential pathogen
AY713371.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	178	Partial				Shrimp white spot syndrome virus isolate mexican nucleocapsid protein VP15 gene, partial cds		Potential pathogen
BD453189.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	186	Partial				Antigenic proteins of Shrimp White Spot Syndrome virus and uses thereof		Potential pathogen
AY374120.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	186	Partial	South Korea			Shrimp white spot syndrome virus isolate Korea 01 VP15 gene, complete cds		Potential pathogen
AY422226.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	186	Partial	India			Shrimp white spot syndrome virus Vp14 gene, complete cds		Potential pathogen
AY050247.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	204	Partial				Shrimp white spot syndrome virus ORF3172 (orf3271) gene, complete cds		Potential pathogen
AF411464.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	204	Partial				White spot syndrome virus ORF2877 gene, partial sequence		Potential pathogen
AY245790.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	205	Partial	China:Dalian			Shrimp white spot syndrome virus isolate china 95/Dalian unknown mRNA		Potential pathogen
KF157841.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	210	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVBU1 ORF-94 gene, partial cds		Potential pathogen
FN687471.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	216	Partial				Shrimp white spot syndrome virus partial ORF94 gene, strain WSSV-MEX-3-2005		Potential pathogen
AF402994.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	219	Partial				White spot syndrome virus ORF2396 gene, partial cds		Potential pathogen
DQ902654.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	241	Partial	India			Shrimp white spot syndrome virus major structural protein VP15 gene, partial cds		Potential pathogen
AY220743.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	243	Partial				Shrimp white spot syndrome virus VP15 gene, complete cds		Potential pathogen
AY050246.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	246	Partial				Shrimp white spot syndrome virus ORF3204 (orf3204) gene, complete cds		Potential pathogen
KF835978.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	276	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVBU3 ORF-125 gene, partial cds		Potential pathogen
AF402996.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	285	Partial				White spot syndrome virus ORF4427 gene, partial cds		Potential pathogen
AY713372.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	290	Partial				Shrimp white spot syndrome virus isolate mexican envelope protein VP19 gene, partial cds		Potential pathogen
AY713373.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	301	Partial				Shrimp white spot syndrome virus isolate mexican nucleocapsid protein VP24 gene, partial cds		Potential pathogen
MN078154.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	301	Partial	Thailand			White spot syndrome virus isolate ECE2 hypothetical protein gene, partial cds		Potential pathogen
AY245784.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	305	Partial	China:Dalian			Shrimp white spot syndrome virus isolate china 95/Dalian unknown mRNA		Potential pathogen
AY870344.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	306	Partial	Iran			Shrimp white spot syndrome virus from Iran ORF972 gene, partial cds		Potential pathogen
AF227910.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	306	Partial				White spot syndrome virus DNA binding protein mRNA, complete cds		Potential pathogen
AJ937742.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	311	Partial				Shrimp white spot syndrome virus partial vp15 gene for nucleocapsid protein		Potential pathogen
KF157831.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	339	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVBU1 ORF-75 gene, partial cds		Potential pathogen
DQ902659.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	348	Partial	India			Shrimp white spot syndrome virus collagen-like protein gene, complete cds		Potential pathogen
EF468498.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	356	Partial	India			Shrimp white spot syndrome virus strain IN-06-I unknown gene		Potential pathogen
AJ937860.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	363	Partial	Mexico:Sinaloa and Nayarit			Shrimp white spot syndrome virus partial vp19 gene for VP19 envelope protein, isolate Mexican		Potential pathogen
AF402997.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	363	Partial				White spot syndrome virus ORF2801 gene, partial cds		Potential pathogen
BD453188.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial				Antigenic proteins of Shrimp White Spot Syndrome virus and uses thereof		Potential pathogen
AY316119.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial				Shrimp white spot syndrome virus isolate Korea 01 VP19 gene, complete cds		Potential pathogen
AY873786.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial	India:Chennai			Shrimp white spot syndrome virus isolate SDDL18/04 envelope protein VP19 (VP19) gene, complete cds		Potential pathogen
DQ902655.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial	India			Shrimp white spot syndrome virus major structural protein VP19 gene, complete cds		Potential pathogen
AY160771.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial				Shrimp white spot syndrome virus major virion protein VP19 (VP19) gene, complete cds		Potential pathogen
AY422227.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial	India			Shrimp white spot syndrome virus Vp19 gene, complete cds		Potential pathogen
AY220744.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial				Shrimp white spot syndrome virus VP19 gene, complete cds		Potential pathogen
DQ007314.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	368	Partial	China			Shrimp white spot syndrome virus strain Xiang Shan truncated VP19 gene, complete cds		Potential pathogen
FN687470.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	378	Partial				Shrimp white spot syndrome virus partial ORF94 gene, strain WSSV-MEX-2-2005		Potential pathogen
AY245788.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	387	Partial	China:Dalian			Shrimp white spot syndrome virus isolate china 95/Dalian unknown mRNA		Potential pathogen
MK560210.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	398	Partial				UNVERIFIED: White spot syndrome virus isolate M genomic sequence		Potential pathogen
AY249446.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	408	Partial	USA:South Carolina			Shrimp white spot syndrome virus isolate US 98/South Carolina VP19 gene, complete cds		Potential pathogen
MK560209.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	409	Partial				UNVERIFIED: White spot syndrome virus isolate B genomic sequence		Potential pathogen
AY245783.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	411	Partial	China:Dalian			Shrimp white spot syndrome virus isolate china 95/Dalian unknown mRNA		Potential pathogen
KF835977.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	411	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVBU3 ORF-75 gene, partial cds		Potential pathogen
AY324171.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	414	Partial				Shrimp white spot syndrome virus strain WSSV D outer membrane protein gene, partial cds		Potential pathogen
AY324168.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	422	Partial				Shrimp white spot syndrome virus strain WSSV A outer membrane protein pseudogene, partial sequence		Potential pathogen
AY324170.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	424	Partial				Shrimp white spot syndrome virus strain WSSV C outer membrane protein gene, partial cds		Potential pathogen
AY324169.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	429	Partial				Shrimp white spot syndrome virus strain WSSV B outer membrane protein gene, partial cds		Potential pathogen
AY245789.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	440	Partial	China:Dalian			Shrimp white spot syndrome virus isolate china 95/Dalian unknown mRNA		Potential pathogen
AY374444.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	492	Partial				Shrimp white spot syndrome virus isolate Korean nonfunctional wsv285 gene, partial sequence		Potential pathogen
AY374443.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	505	Partial				Shrimp white spot syndrome virus isolate Indian wsv285 gene, partial cds		Potential pathogen
AY864664.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	505	Partial	Thailand			Shrimp white spot syndrome virus isolate TH-96-II variable region Orf23/24 gene, partial cds		Potential pathogen
AY245785.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	509	Partial	China:Dalian			Shrimp white spot syndrome virus isolate china 95/Dalian unknown mRNA		Potential pathogen
AF295124.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	510	Partial				White spot syndrome virus genomic sequence		Potential pathogen
AJ937859.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	516	Partial	Mexico:Sinaloa			Shrimp white spot syndrome virus partial vp28 gene for VP28 envelope protein, isolate Mexican		Potential pathogen
FN687469.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	540	Partial				Shrimp white spot syndrome virus partial ORF94 gene, strain WSSV-MEX-1-2005		Potential pathogen
AF402998.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	552	Partial				White spot syndrome virus ORF1292 gene, partial cds		Potential pathogen
HV220405.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	555	Partial				JP 2003506338-A/1: PROTEINS DERIVED FROM WHITE SPOT SYNDROME VIRUS AND USES THEREOF		Potential pathogen
KC189609.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	570	Partial	Mexico			Shrimp white spot syndrome virus isolate charal wsv285 gene, partial cds		Potential pathogen
AY245787.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	570	Partial	China:Dalian			Shrimp white spot syndrome virus isolate china 95/Dalian unknown mRNA		Potential pathogen
FJ609650.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	570	Partial	Mexico:Guasave			Shrimp white spot syndrome virus isolate Guasave wsv285 gene, partial cds		Potential pathogen
KF225732.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	583	Partial	USA:Louisiana			White spot syndrome virus from USA hypothetical protein gene, partial cds		Potential pathogen
DJ435282.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	585	Partial				dsRNA INDUCED SPECIFIC AND NON-SPECIFIC IMMUNITY IN CRUSTACEANS AND OTHER INVERTEBRATES AND BIODELIVERY VEHICLES FOR USE THEREIN		Potential pathogen
AF395544.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	591	Partial				Shrimp white spot syndrome virus ORF19 gene, complete cds		Potential pathogen
DL483972.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				DNA vaccine against white spot syndrome in crustaceans		Potential pathogen
DJ435283.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				dsRNA INDUCED SPECIFIC AND NON-SPECIFIC IMMUNITY IN CRUSTACEANS AND OTHER INVERTEBRATES AND BIODELIVERY VEHICLES FOR USE THEREIN		Potential pathogen
HV220406.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				JP 2003506338-A/2: PROTEINS DERIVED FROM WHITE SPOT SYNDROME VIRUS AND USES THEREOF		Potential pathogen
HV220409.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				JP 2003506338-A/5: PROTEINS DERIVED FROM WHITE SPOT SYNDROME VIRUS AND USES THEREOF		Potential pathogen
EF661844.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			Shrimp white spot syndrome virus coat protein (VP28) gene, complete cds		Potential pathogen
DQ098011.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	China:Ningbo, Zhejiang, East China: Sea			Shrimp white spot syndrome virus envelope protein VP28 (VP28) gene, complete cds		Potential pathogen
AY324881.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				Shrimp white spot syndrome virus isolate Korea 01 VP28 gene, complete cds		Potential pathogen
AY873785.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India:Chennai			Shrimp white spot syndrome virus isolate SDDL18/04 envelope protein VP28 (VP28) gene, complete cds		Potential pathogen
DQ902658.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			Shrimp white spot syndrome virus major structural protein VP28 gene, complete cds		Potential pathogen
AY168644.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				Shrimp white spot syndrome virus major virion protein VP28 gene, complete cds		Potential pathogen
DQ007315.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	China			Shrimp white spot syndrome virus strain Xiang Shan VP28 gene, complete cds		Potential pathogen
AY422230.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			Shrimp white spot syndrome virus Vp26 gene, complete cds		Potential pathogen
AY220746.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				Shrimp white spot syndrome virus VP26 gene, complete cds		Potential pathogen
EF194079.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	Thailand			Shrimp white spot syndrome virus VP28 envelope protein gene, complete cds		Potential pathogen
AY682926.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	China:GuangXi			Shrimp white spot syndrome virus VP28 gene, complete cds		Potential pathogen
AY422228.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			Shrimp white spot syndrome virus Vp28 gene, complete cds		Potential pathogen
AF502435.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				Shrimp white spot syndrome virus vp28 gene, complete cds		Potential pathogen
AF380841.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				White spot syndrome virus major virion protein VP26 gene, complete cds		Potential pathogen
AF380842.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial				White spot syndrome virus major virion protein VP28 gene, complete cds		Potential pathogen
DQ902657.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	616	Partial	India			Shrimp white spot syndrome virus truncated major structural protein VP26 gene, partial cds		Potential pathogen
EU327501.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	620	Partial	India			Shrimp white spot syndrome virus isolate WSSV-IN-05-I variable ORF14/15 region genomic sequence		Potential pathogen
AF403000.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	624	Partial				White spot syndrome virus ORF190 gene, partial cds		Potential pathogen
AF402999.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	624	Partial				White spot syndrome virus ORF4441 gene, partial cds		Potential pathogen
HV220410.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	627	Partial				JP 2003506338-A/6: PROTEINS DERIVED FROM WHITE SPOT SYNDROME VIRUS AND USES THEREOF		Potential pathogen
DQ902656.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	627	Partial	India			Shrimp white spot syndrome virus major structural protein VP24 gene, complete cds		Potential pathogen
AY422229.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	627	Partial	India			Shrimp white spot syndrome virus Vp24 gene, complete cds		Potential pathogen
AY220745.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	627	Partial				Shrimp white spot syndrome virus VP24 gene, complete cds		Potential pathogen
AF380840.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	627	Partial				White spot syndrome virus major virion protein VP24 gene, complete cds		Potential pathogen
AY245786.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	636	Partial	China:Dalian			Shrimp white spot syndrome virus isolate china 95/Dalian unknown mRNA		Potential pathogen
AF493151.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	648	Partial				Shrimp white spot syndrome virus VP216 gene, partial cds		Potential pathogen
AY864670.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	652	Partial	Thailand			Shrimp white spot syndrome virus isolate TH-96-II Orf125 gene, partial cds		Potential pathogen
AF376806.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	671	Partial				White spot syndrome virus unknown mRNA		Potential pathogen
MN625272.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	675	Partial	Iran			White spot syndrome virus clone PTG19 WSV069 gene, complete cds		Potential pathogen
KF157836.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	681	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVBU1 ORF-125 gene, partial cds		Potential pathogen
AY864669.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	682	Partial	Thailand			Shrimp white spot syndrome virus isolate TH-96-II Orf94 gene, partial cds		Potential pathogen
AY325896.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	687	Partial				Shrimp white spot syndrome virus isolate Korea 01 VP35 gene, complete cds		Potential pathogen
AY864665.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	688	Partial	Thailand			Shrimp white spot syndrome virus isolate TH-96-II variable region Orf23/24 gene, partial cds		Potential pathogen
AY864667.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	696	Partial	Thailand			Shrimp white spot syndrome virus isolate TH-96-II variable region Orf23/24 gene, partial cds		Potential pathogen
AF365882.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	707	Partial				White spot syndrome virus putative DNA polymerase gene, partial cds		Potential pathogen
AF403002.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	711	Partial				White spot syndrome virus ORF2314 gene, partial cds		Potential pathogen
DQ196431.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	715	Partial	Iran			Shrimp white spot syndrome virus from Iran VP24 gene, complete cds		Potential pathogen
AY117543.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	725	Partial	USA:California, La Jolla, Scripss Pier			Shrimp white spot syndrome virus unknown mRNA		Potential pathogen
AF308164.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	726	Partial				White spot syndrome virus P22 (p22) mRNA, complete cds		Potential pathogen
AF376807.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	735	Partial				White spot syndrome virus unknown mRNA		Potential pathogen
MT755013.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	745	Partial	Norway:Arctic Ocean, Svalbard, Kongsfjorden			White spot syndrome virus isolate AKW-MB-1 hypothetical protein gene, partial cds		Potential pathogen
EF197113.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	757	Partial	Iran			Shrimp white spot syndrome virus FIC protein (wsv406) gene, partial cds		Potential pathogen
MN475881.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	771	Partial				UNVERIFIED: White spot syndrome virus genomic sequence		Potential pathogen
AJ551447.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	776	Partial				White spot syndrome baculovirus vp28 gene for vp28 structural protein		Potential pathogen
DQ121373.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	805	Partial				Shrimp white spot syndrome virus WSV477 protein mRNA, complete cds		Potential pathogen
EF661845.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	843	Partial	India			Shrimp white spot syndrome virus envelope protein (VP281) gene, partial cds		Potential pathogen
AF411634.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	843	Partial				White spot syndrome virus ORF1050 gene, partial sequence		Potential pathogen
AY517490.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	846	Partial				Shrimp white spot syndrome virus envelope protein VP281VN (vp281VN) gene, complete cds		Potential pathogen
EF564811.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	852	Partial	India			Shrimp white spot syndrome virus VP39 gene, complete cds		Potential pathogen
KY786111.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	876	Partial	Egypt			White spot syndrome virus envelope protein gene, partial cds		Potential pathogen
AF411636.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	876	Partial				White spot syndrome virus ORF948 gene, partial sequence		Potential pathogen
AF403001.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	891	Partial				White spot syndrome virus ORF262 gene, partial cds		Potential pathogen
AY850066.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	896	Partial	USA			Shrimp white spot syndrome virus isolate Taiwan WSSV419-like protein gene, partial cds		Potential pathogen
AF403003.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	900	Partial				White spot syndrome virus ORF972 gene, partial cds		Potential pathogen
AF173992.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	910	Partial				White spot syndrome virus 26 kDa structural protein VP26 (vp26) gene, complete cds		Potential pathogen
AY864666.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	918	Partial	Thailand			Shrimp white spot syndrome virus isolate TH-96-II variable region Orf23/24 gene, partial cds		Potential pathogen
AY897235.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	920	Partial	China			Shrimp white spot syndrome virus envelope protein (VP32) mRNA, complete cds		Potential pathogen
